javier         a              a              
4000           5              11956.15       
405            6411.15        10             
2              javier         qwe            
5000           30             13356.85       
695            11001.9        10             
10             javier         qwe            
5000           5              12571.97       
532.5          8429.48        10             
100            tulio          asa            
5000           5              12571.97       
532.515             alejandro      qwertyui       
5000           5              12571.97       
532.5          8429.48        10             
